IDs,length,Exptl.,resolution,R-factor,FreeRvalue
1BYRA,155,XRAY,2,0.19,0.25
1C0PA,363,XRAY,1.2,0.12,0.15
1C1DA,355,XRAY,1.25,0.2,0.24
1C1KA,217,XRAY,1.45,0.2,0.25
1C1LA,137,XRAY,1.5,0.21,0.27
1C1YB,77,XRAY,1.9,0.23,0.26
1C3CA,429,XRAY,1.8,0.18,0.21
1C3MA,147,XRAY,2,0.17,0.22
1C3PA,375,XRAY,1.8,0.2,0.24
1C44A,123,XRAY,1.8,0.17,0.24
1C4QA,69,XRAY,1.52,0.17,0.19
1C52A,131,XRAY,1.28,0.19,0.22
1C5EA,95,XRAY,1.1,0.1,0.13
1C75A,71,XRAY,0.97,0.12,1
1C7KA,132,XRAY,1,0.15,0.18
1C7NA,399,XRAY,1.9,0.23,0.25
1C7SA,858,XRAY,1.8,0.18,0.22
1C8UA,285,XRAY,1.9,0.23,0.25
1C96A,753,XRAY,1.81,0.23,1
1CB0A,283,XRAY,1.7,0.18,0.2
1CB8A,678,XRAY,1.9,0.2,0.26
1CC8A,73,XRAY,1.02,0.14,0.17
1CCWA,137,XRAY,1.6,0.14,0.17
1CCWB,483,XRAY,1.6,0.14,0.17
1CCZA,171,XRAY,1.8,0.2,0.24
1CDCB,99,XRAY,2,0.19,1
1CEOA,343,XRAY,1.9,0.19,0.22
1CEWI,108,XRAY,2,0.2,1
1CFBA,205,XRAY,2,0.2,1
1CG5A,141,XRAY,1.6,0.19,0.23
1CG5B,141,XRAY,1.6,0.19,0.23
1CHDA,203,XRAY,1.75,0.18,0.23
1CHMA,401,XRAY,1.9,0.18,1
1CI4A,89,XRAY,1.9,0.21,0.26
1CI9A,392,XRAY,1.8,0.18,0.23
1CJBA,231,XRAY,2,0.2,0.24
1CJCA,460,XRAY,1.7,0.19,0.22
1CJWA,166,XRAY,1.8,0.18,0.23
1CKEA,227,XRAY,1.75,0.2,0.26
1CL8A,276,XRAY,1.8,0.24,0.29
1CLVI,32,XRAY,2,0.16,0.19
1CMCA,104,XRAY,1.8,0.18,1
1CNVA,299,XRAY,1.65,0.17,1
1COJA,212,XRAY,1.9,0.17,0.2
1COZA,129,XRAY,2,0.2,0.26
1CPQA,129,XRAY,1.72,0.15,1
1CQ3A,233,XRAY,1.85,0.21,0.24
1CQXA,403,XRAY,1.75,0.18,0.21
1CRUA,454,XRAY,1.5,0.18,0.2
1CS1A,386,XRAY,1.5,0.2,0.26
1CS6A,382,XRAY,1.8,0.23,0.26
1CSEI,70,XRAY,1.2,0.18,1
1CSHA,435,XRAY,1.65,0.16,1
1CT5A,256,XRAY,2,0.2,0.24
1CT9A,553,XRAY,2,0.2,0.3
1CTFA,74,XRAY,1.7,0.17,1
1CUKA,203,XRAY,1.9,0.21,1
1CUNA,213,XRAY,2,0.22,0.26
1CUOA,129,XRAY,1.6,0.19,0.24
1CV8A,174,XRAY,1.75,0.18,0.24
1CXCA,124,XRAY,1.6,0.23,1
1CXQA,162,XRAY,1.02,0.13,0.16
1CXYA,90,XRAY,1.65,0.19,0.22
1CY5A,97,XRAY,1.3,0.17,0.2
1CYDA,244,XRAY,1.8,0.15,0.2
1CZFA,362,XRAY,1.68,0.17,0.19
1CZTA,160,XRAY,1.87,0.2,0.24
1CZYA,168,XRAY,2,0.21,0.24
1D02A,202,XRAY,1.7,0.18,0.21
1D0CA,444,XRAY,1.65,0.21,0.26
1D0DA,60,XRAY,1.62,0.19,0.21
1D0QA,103,XRAY,1.71,0.2,0.23
1D1QA,161,XRAY,1.7,0.17,0.21
1D2MA,665,XRAY,1.9,0.23,0.25
1D2NA,272,XRAY,1.75,0.2,0.22
1D2OA,187,XRAY,2,0.21,0.26
1D2SA,170,XRAY,1.55,0.21,0.25
1D2TA,231,XRAY,1.9,0.22,0.26
1D2ZA,108,XRAY,2,0.22,0.24
1D2ZB,153,XRAY,2,0.22,0.24
1D3BA,75,XRAY,2,0.21,0.27
1D3BB,91,XRAY,2,0.21,0.27
1D3YA,301,XRAY,2,0.2,0.24
1D4AA,273,XRAY,1.7,0.21,0.25
1D4OA,184,XRAY,1.21,0.17,0.22
1D4TA,104,XRAY,1.1,0.13,0.17
1D5TA,433,XRAY,1.04,0.17,0.21
1D8HA,311,XRAY,2,0.23,0.31
1D8WA,426,XRAY,1.6,0.18,0.24
1D9CA,121,XRAY,2,0.21,0.28
1DBFA,127,XRAY,1.3,0.17,0.23
1DBWA,126,XRAY,1.6,0.19,0.22
1DC1A,323,XRAY,1.7,0.19,0.25
1DCIA,275,XRAY,1.5,0.18,0.2
1DCSA,311,XRAY,1.3,0.13,0.15
1DD9A,338,XRAY,1.6,0.23,0.28
1DDWA,120,XRAY,1.7,0.24,0.28
1DEKA,241,XRAY,2,0.19,1
1DEUA,277,XRAY,1.7,0.2,0.21
1DFMA,223,XRAY,1.5,0.19,0.22
1DFUP,94,XRAY,1.8,0.21,0.23
1DG6A,191,XRAY,1.3,0.14,0.2
1DGFA,497,XRAY,1.5,0.17,0.19
1DGWA,178,XRAY,1.7,0.2,0.25
1DGWX,79,XRAY,1.7,0.2,0.25
1DGWY,93,XRAY,1.7,0.2,0.25
1DHKB,223,XRAY,1.85,0.18,0.22
1DHNA,121,XRAY,1.65,0.2,0.25
1DI2A,69,XRAY,1.9,0.23,0.26
1DI6A,195,XRAY,1.45,0.19,0.21
1DJ0A,264,XRAY,1.5,0.16,0.22
1DJ8A,89,XRAY,2,0.21,0.26
1DK8A,147,XRAY,1.57,0.17,0.2
1DL2A,511,XRAY,1.54,0.21,0.23
1DL5A,317,XRAY,1.8,0.18,0.2
1DLWA,116,XRAY,1.54,0.13,0.18
1DLYA,164,XRAY,1.8,0.19,0.22
1DM5E,315,XRAY,1.93,0.24,0.26
1DM9A,133,XRAY,2,0.23,0.29
1DMGA,225,XRAY,1.7,0.21,0.24
1DNLA,199,XRAY,1.8,0.21,0.23
1DOIA,128,XRAY,1.9,0.2,1
1DOSA,358,XRAY,1.67,0.17,0.2
1DOWA,205,XRAY,1.8,0.2,0.23
1DOWB,32,XRAY,1.8,0.2,0.23
1DP4A,435,XRAY,2,0.2,0.23
1DP7P,76,XRAY,1.5,0.19,0.23
1DPGA,485,XRAY,2,0.21,0.26
1DPJA,329,XRAY,1.8,0.19,0.21
1DPJB,33,XRAY,1.8,0.19,0.21
1DQGA,135,XRAY,1.7,0.2,0.21
1DQPA,230,XRAY,1.75,0.21,0.23
1DS1A,324,XRAY,1.08,0.14,0.17
1DSZB,85,XRAY,1.7,0.2,0.27
1DTDB,61,XRAY,1.65,0.19,0.23
1DTJA,76,XRAY,2,0.24,0.28
1DUNA,134,XRAY,1.9,0.16,0.21
1DUSA,194,XRAY,1.8,0.19,0.23
1DVOA,152,XRAY,2,0.2,0.22
1DW0A,112,XRAY,1.82,0.17,0.21
1DWKA,156,XRAY,1.65,0.14,0.18
1DXEA,256,XRAY,1.8,0.17,0.19
1DXGA,36,XRAY,1.8,0.17,0.19
1DXYA,333,XRAY,1.86,0.2,0.22
1DY5A,124,XRAY,0.87,0.1,0.12
1DYPA,271,XRAY,1.54,0.18,0.19
1DYQA,234,XRAY,1.5,0.19,0.24
1DYSA,348,XRAY,1.6,0.18,0.24
1DZ3A,130,XRAY,1.65,0.23,0.27
1DZFA,215,XRAY,1.9,0.22,0.27
1DZKA,157,XRAY,1.48,0.23,0.24
1E0BA,68,XRAY,1.9,0.23,0.26
1E0CA,271,XRAY,1.8,0.18,0.23
1E0TA,470,XRAY,1.8,0.25,0.32
1E19A,314,XRAY,1.5,0.18,0.22
1E25A,282,XRAY,1.9,0.14,0.18
1E29A,135,XRAY,1.21,0.15,0.21
1E2KA,331,XRAY,1.7,0.21,0.25
1E2WA,251,XRAY,1.6,0.2,0.23
1E3OC,160,XRAY,1.9,0.22,0.24
1E4CP,215,XRAY,1.66,0.16,0.2
1E4IA,447,XRAY,2,0.21,0.25
1E4MM,501,XRAY,1.2,0.12,0.14
1E58A,249,XRAY,1.25,0.12,0.17
1E5KA,201,XRAY,1.35,0.18,0.21
1E5PA,151,XRAY,1.63,0.19,0.23
1E6BA,221,XRAY,1.65,0.2,0.23
1E6CA,173,XRAY,1.8,0.19,0.23
1E6IA,121,XRAY,1.87,0.19,0.21
1E6UA,321,XRAY,1.45,0.14,0.17
1E7LA,157,XRAY,1.32,0.14,0.19
1E8CA,498,XRAY,2,0.2,0.23
1E8YA,966,XRAY,2,0.24,0.3
1E9GA,286,XRAY,1.15,0.14,1
1EA5A,537,XRAY,1.8,0.18,0.2
1EAJA,126,XRAY,1.35,0.14,0.15
1EAQB,140,XRAY,1.25,0.15,0.17
1EARA,147,XRAY,1.7,0.21,0.23
1EAYC,74,XRAY,2,0.22,1
1EAZA,125,XRAY,1.4,0.17,0.23
1EB6A,177,XRAY,1,0.1,0.13
1ECFA,504,XRAY,2,0.17,0.23
1ECSA,126,XRAY,1.7,0.19,1
1EDGA,380,XRAY,1.6,0.19,0.22
1EDTA,271,XRAY,1.9,0.2,1
1EE8A,266,XRAY,1.9,0.21,0.26
1EEJA,216,XRAY,1.9,0.21,0.25
1EERA,166,XRAY,1.9,0.24,0.32
1EERB,227,XRAY,1.9,0.24,0.32
1EEXA,554,XRAY,1.7,0.16,0.23
1EEXB,224,XRAY,1.7,0.16,0.23
1EEXG,173,XRAY,1.7,0.16,0.23
1EF1C,90,XRAY,1.9,0.23,0.29
1EF8A,261,XRAY,1.85,0.18,0.24
1EFDN,266,XRAY,1.9,0.22,0.25
1EG2A,319,XRAY,1.75,0.21,0.25
1EG3A,261,XRAY,2,0.19,0.26
1EG5A,384,XRAY,2,0.21,0.23
1EGWA,77,XRAY,1.5,0.21,0.23
1EI5A,520,XRAY,1.9,0.16,0.19
1EJ0A,180,XRAY,1.5,0.2,0.23
1EJ8A,140,XRAY,1.55,0.2,0.26
1EJBA,168,XRAY,1.85,0.2,0.23
1EJDA,419,XRAY,1.55,0.18,0.21
1EJGA,46,XRAY,0.54,0.09,0.09
1EKEA,230,XRAY,2,0.21,0.26
1EKJA,221,XRAY,1.93,0.23,0.25
1EKQA,272,XRAY,1.5,0.22,0.25
1ELJA,381,XRAY,1.85,0.2,0.23
1ELKA,157,XRAY,1.5,0.2,0.22
1ELRA,131,XRAY,1.9,0.18,0.22
1ELUA,390,XRAY,1.55,0.22,0.26
1ELVA,333,XRAY,1.7,0.19,0.22
1EN2A,89,XRAY,1.4,0.2,0.2
1ENFA,212,XRAY,1.69,0.16,0.19
1EOKA,290,XRAY,1.8,0.17,0.2
1EP0A,185,XRAY,1.5,0.18,0.21
1EPWA,1290,XRAY,1.9,0.2,0.23
1EQ2A,310,XRAY,2,0.22,0.26
1EQ9A,222,XRAY,1.7,0.21,0.24
1ES5A,262,XRAY,1.4,0.21,0.24
1ES9A,232,XRAY,1.3,0.19,0.22
1ET1A,34,XRAY,0.9,0.14,0.14
1ET9A,204,XRAY,1.9,0.2,0.22
1EU1A,780,XRAY,1.3,0.12,0.14
1EU3A,210,XRAY,1.68,0.21,0.23
1EU8A,409,XRAY,1.9,0.2,0.23
1EUHA,475,XRAY,1.82,0.22,0.26
1EUVA,221,XRAY,1.6,0.19,0.25
1EUWA,152,XRAY,1.05,0.14,0.16
1EVLA,401,XRAY,1.55,0.22,0.23
1EVYA,366,XRAY,1.75,0.2,0.26
1EW0A,130,XRAY,1.4,0.2,0.27
1EW4A,106,XRAY,1.4,0.19,0.21
1EWFA,456,XRAY,1.7,0.2,0.25
1EX0A,731,XRAY,2,0.19,0.23
1EX2A,189,XRAY,1.85,0.2,0.22
1EX7A,186,XRAY,1.9,0.17,0.26
1EXTA,162,XRAY,1.85,0.2,0.24
1EYEA,280,XRAY,1.7,0.18,0.24
1EYQA,222,XRAY,1.85,0.24,0.26
1EYVA,156,XRAY,1.6,0.19,0.23
1EZ3A,127,XRAY,1.9,0.23,0.29
1EZGA,84,XRAY,1.4,0.16,0.2
1EZIA,228,XRAY,2,0.21,0.26
1EZWA,349,XRAY,1.65,0.2,0.21
1F00I,282,XRAY,1.9,0.21,0.26
1F08A,148,XRAY,1.9,0.24,0.27
1F0KA,364,XRAY,1.9,0.22,0.25
1F0LA,535,XRAY,1.55,0.19,0.24
1F0XA,571,XRAY,1.9,0.21,0.25
1F0YA,302,XRAY,1.8,0.21,0.24
1F1EA,154,XRAY,1.37,0.17,0.21
1F1MC,164,XRAY,1.8,0.2,0.23
1F20A,435,XRAY,1.9,0.19,0.21
1F2LA,76,XRAY,2,0.24,0.32
1F2TA,149,XRAY,1.6,0.19,0.23
1F2TB,148,XRAY,1.6,0.19,0.23
1F32A,149,XRAY,1.75,0.21,0.26
1F39A,101,XRAY,1.9,0.23,0.26
1F3UA,118,XRAY,1.7,0.23,0.26
1F3UB,171,XRAY,1.7,0.23,0.26
1F3VA,179,XRAY,2,0.23,0.26
1F3ZA,161,XRAY,1.98,0.19,1
1F46A,140,XRAY,1.5,0.2,0.22
1F4PA,147,XRAY,1.3,0.13,0.17
1F5MA,180,XRAY,1.9,0.25,0.25
1F5NA,592,XRAY,1.7,0.22,0.26
1F5VA,240,XRAY,1.7,0.19,0.21
1F60A,458,XRAY,1.67,0.19,0.22
1F60B,94,XRAY,1.67,0.19,0.22
1F6BA,198,XRAY,1.7,0.22,0.24
1F74A,293,XRAY,1.6,0.17,0.2
1F7DA,136,XRAY,1.4,0.19,0.22
1F7LA,121,XRAY,1.5,0.19,0.2
1F7SA,139,XRAY,2,0.21,0.25
1F86A,115,XRAY,1.1,0.14,0.18
1F8EA,388,XRAY,1.4,0.19,0.22
1F94A,63,XRAY,0.97,0.12,0.18
1F9VA,347,XRAY,1.3,0.22,0.24
1F9ZA,135,XRAY,1.5,0.21,0.27
1FAOA,126,XRAY,1.8,0.22,0.23
1FASA,61,XRAY,1.8,0.15,1
1FC3A,120,XRAY,2,0.2,0.26
1FC4A,401,XRAY,2,0.15,0.21
1FC6A,388,XRAY,1.8,0.17,0.24
1FCQA,350,XRAY,1.6,0.19,0.23
1FCYA,236,XRAY,1.3,0.13,0.16
1FD3A,41,XRAY,1.35,0.16,0.24
1FECA,490,XRAY,1.7,0.2,0.26
1FG7A,356,XRAY,1.5,0.2,0.22
1FGYA,127,XRAY,1.5,0.21,0.25
1FHGA,154,XRAY,2,0.23,0.27
1FIPA,98,XRAY,1.9,0.2,1
1FITA,147,XRAY,1.85,0.2,0.23
1FIUA,286,XRAY,1.6,0.17,0.2
1FJ2B,232,XRAY,1.5,0.18,0.24
1FJHA,257,XRAY,1.68,0.2,0.23
1FJJA,159,XRAY,1.66,0.18,0.2
1FK5A,93,XRAY,1.3,0.14,0.19
1FKMA,396,XRAY,1.9,0.2,0.23
1FL0A,171,XRAY,1.5,0.22,0.22
1FL2A,310,XRAY,1.9,0.2,0.22
1FLEI,57,XRAY,1.9,0.2,1
1FLTX,95,XRAY,1.7,0.2,0.26
1FM0D,81,XRAY,1.45,0.15,0.18
1FM0E,150,XRAY,1.45,0.15,0.18
1FMBA,104,XRAY,1.8,0.14,1
1FMCA,255,XRAY,1.8,0.21,0.25
1FMJA,351,XRAY,2,0.23,0.26
1FN9A,365,XRAY,1.8,0.17,0.2
1FNDA,314,XRAY,1.7,0.17,1
1FNNA,389,XRAY,2,0.22,0.26
1FO8A,343,XRAY,1.4,0.17,0.18
1FOBA,334,XRAY,1.8,0.21,0.25
1FP2A,352,XRAY,1.4,0.23,0.23
1FP3A,402,XRAY,2,0.17,0.24
1FPOA,171,XRAY,1.8,0.22,0.25
1FPZA,212,XRAY,2,0.2,0.25
1FQIA,147,XRAY,1.94,0.22,0.25
1FR3A,67,XRAY,1.5,0.18,0.2
1FS1A,53,XRAY,1.8,0.22,0.27
1FSGA,233,XRAY,1.05,0.12,0.15
1FT5A,211,XRAY,1.6,0.19,0.21
1FTHA,122,XRAY,1.9,0.24,0.28
1FTRA,296,XRAY,1.7,0.2,0.25
1FUXA,166,XRAY,1.81,0.2,0.25
1FV1C,20,XRAY,1.9,0.23,0.27
1FVGA,199,XRAY,1.6,0.18,0.24
1FVIA,297,XRAY,2,0.19,0.27
1FX2A,235,XRAY,1.46,0.18,0.2
1FXDA,58,XRAY,1.7,0.16,1
1FXLA,167,XRAY,1.8,0.19,0.24
1FYEA,229,XRAY,1.2,0.16,0.19
1FZVA,132,XRAY,2,0.22,0.25
1FZYA,149,XRAY,1.9,0.21,0.24
1G0SA,209,XRAY,1.9,0.19,0.24
1G12A,167,XRAY,1.6,0.22,0.23
1G1SC,28,XRAY,1.9,0.2,0.23
1G1TA,157,XRAY,1.5,0.2,0.22
1G291,372,XRAY,1.9,0.21,0.25
1G2NA,264,XRAY,1.65,0.21,0.24
1G2OA,268,XRAY,1.75,0.19,0.21
1G2QA,187,XRAY,1.5,0.2,0.23
1G2RA,100,XRAY,1.35,0.16,0.18
1G2YA,32,XRAY,1,0.2,0.2
1G3KA,174,XRAY,1.9,0.2,0.23
1G3PA,217,XRAY,1.46,0.19,0.23
1G3QA,237,XRAY,2,0.21,0.24
1G4IA,123,XRAY,0.97,0.09,1
1G55A,343,XRAY,1.8,0.21,0.25
1G57A,217,XRAY,1.4,0.18,0.22
1G5AA,628,XRAY,1.4,0.19,0.2
1G5HA,454,XRAY,1.95,0.18,0.22
1G5TA,196,XRAY,1.8,0.19,0.27
1G60A,260,XRAY,1.74,0.2,0.22
1G61A,228,XRAY,1.3,0.13,0.18
1G66A,207,XRAY,0.9,0.11,0.13
1G6AA,271,XRAY,1.75,0.18,0.21
1G6HA,257,XRAY,1.6,0.22,0.25
1G6XA,58,XRAY,0.86,0.11,0.14
1G73C,121,XRAY,2,0.23,0.27
1G7SA,594,XRAY,2,0.22,0.27
1G8AA,227,XRAY,1.4,0.2,0.22
1G8EA,116,XRAY,1.8,0.22,0.3
1G8KA,825,XRAY,1.64,0.15,0.18
1G8KB,133,XRAY,1.64,0.15,0.18
1G8LA,411,XRAY,1.95,0.23,0.28
1G8MA,593,XRAY,1.75,0.2,0.22
1G8QA,90,XRAY,1.6,0.19,0.24
1G94A,448,XRAY,1.74,0.16,0.19
1GA8A,311,XRAY,2,0.19,0.23
1GAIA,472,XRAY,1.7,0.15,0.17
1GAKA,141,XRAY,1.85,0.23,0.25
1GCIA,269,XRAY,0.78,0.1,0.1
1GCQC,70,XRAY,1.68,0.21,0.23
1GD2E,70,XRAY,2,0.23,0.25
1GDEA,389,XRAY,1.8,0.21,0.23
1GEEA,261,XRAY,1.6,0.2,0.21
1GEFA,123,XRAY,2,0.22,0.26
1GEQA,248,XRAY,2,0.2,0.25
1GHEA,177,XRAY,1.55,0.21,0.23
1GHPA,258,XRAY,1.76,0.18,0.26
1GJ7A,23,XRAY,1.5,0.2,0.23
1GK6A,59,XRAY,1.9,0.2,0.23
1GK7A,39,XRAY,1.4,0.2,0.22
1GK8I,140,XRAY,1.4,0.15,0.16
1GK9A,260,XRAY,1.3,0.15,0.17
1GK9B,557,XRAY,1.3,0.15,0.17
1GKMA,509,XRAY,1,0.12,0.14
1GKPA,458,XRAY,1.295,0.15,0.18
1GL2B,65,XRAY,1.9,0.18,0.22
1GL2C,65,XRAY,1.9,0.18,0.22
1GL2D,65,XRAY,1.9,0.18,0.22
1GL4A,285,XRAY,2,0.22,0.25
1GL4B,98,XRAY,2,0.22,0.25
1GMIA,136,XRAY,1.7,0.23,0.26
1GMUA,143,XRAY,1.5,0.22,0.26
1GMXA,108,XRAY,1.1,0.13,0.15
1GNLA,544,XRAY,1.25,0.13,0.14
1GNYA,153,XRAY,1.63,0.15,0.18
1GO3E,187,XRAY,1.75,0.22,0.24
1GO3F,107,XRAY,1.75,0.22,0.24
1GOIA,499,XRAY,1.45,0.16,0.22
1GP0A,143,XRAY,1.4,0.21,0.24
1GP6A,356,XRAY,1.75,0.19,0.22
1GPJA,404,XRAY,1.95,0.21,0.26
1GPPA,237,XRAY,1.35,0.15,0.19
1GPRA,162,XRAY,1.9,0.16,1
1GQ6A,313,XRAY,1.75,0.14,0.17
1GQ8A,319,XRAY,1.75,0.18,0.19
1GQAA,130,XRAY,1.8,0.21,0.25
1GQEA,365,XRAY,1.81,0.22,0.25
1GQIA,708,XRAY,1.48,0.13,0.17
1GQVA,135,XRAY,0.98,0.12,0.14
1GR0A,367,XRAY,1.95,0.21,0.24
1GS5A,258,XRAY,1.5,0.21,0.21
1GS9A,165,XRAY,1.7,0.22,0.25
1GSAA,316,XRAY,2,0.19,1
1GTEA,1025,XRAY,1.65,0.18,0.2
1GTKA,313,XRAY,1.66,0.2,0.25
1GTTA,429,XRAY,1.7,0.22,0.25
1GTVA,214,XRAY,1.55,0.19,0.21
1GTZA,156,XRAY,1.6,0.18,0.22
1GU2B,124,XRAY,1.19,0.15,0.19
1GU4A,78,XRAY,1.8,0.23,0.27
1GU7A,364,XRAY,1.7,0.17,0.19
1GU9A,177,XRAY,1.9,0.24,0.31
1GUDA,288,XRAY,1.71,0.17,0.21
1GUIA,155,XRAY,1.9,0.17,0.2
1GUTA,68,XRAY,1.5,0.18,0.22
1GUUA,52,XRAY,1.6,0.19,0.22
1GV9A,260,XRAY,1.46,0.19,0.21
1GVDA,52,XRAY,1.45,0.18,0.2
1GVEA,327,XRAY,1.38,0.16,0.18
1GVFA,286,XRAY,1.45,0.13,0.17
1GVNA,90,XRAY,1.95,0.2,0.24
1GVNB,287,XRAY,1.95,0.2,0.24
1GVPA,87,XRAY,1.6,0.21,0.29
1GVZA,237,XRAY,1.42,0.17,0.21
1GWEA,503,XRAY,0.88,0.09,0.1
1GWMA,153,XRAY,1.15,0.13,0.16
1GWUA,309,XRAY,1.31,0.17,0.19
1GXJA,186,XRAY,2,0.23,0.27
1GXMA,332,XRAY,1.32,0.13,0.16
1GXQA,106,XRAY,2,0.2,0.27
1GXRA,337,XRAY,1.65,0.23,0.26
1GXUA,91,XRAY,1.27,0.13,0.16
1GXYA,226,XRAY,1.71,0.19,0.22
